op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
999, 0.985, 0.980, 0.982, 0.983, 0.984, 0.375, 0.306, 0.413, 0.360, 0.330, 0.631, 0.631, 0.631, 0.630, 0.632, 0.363, 0.326, 0.317, 0.328, 0.318, 0.569, 0.583, 0.572, 0.572, 0.571, 0.050, 0.046, 0.045, 0.045, 0.044
1501, 1.553, 1.565, 1.556, 1.569, 1.569, 0.547, 0.522, 0.551, 0.456, 0.536, 0.974, 0.973, 0.971, 0.973, 0.971, 0.514, 0.483, 0.493, 0.493, 0.496, 0.883, 0.901, 0.873, 0.881, 0.920, 0.070, 0.066, 0.066, 0.065, 0.064
2253, 2.476, 2.450, 3.842, 3.556, 2.426, 0.874, 0.753, 0.825, 0.760, 0.876, 1.499, 1.501, 1.528, 1.505, 1.502, 0.772, 0.793, 0.765, 0.798, 0.785, 1.296, 1.301, 1.302, 1.306, 1.303, 0.104, 0.100, 0.099, 0.099, 0.098
3383, 3.815, 3.846, 3.829, 3.816, 3.844, 1.320, 1.465, 1.413, 1.378, 1.235, 2.290, 2.290, 2.287, 2.305, 2.294, 1.181, 1.203, 1.198, 1.185, 1.218, 1.959, 1.966, 1.958, 1.957, 1.956, 0.165, 0.157, 0.160, 0.161, 0.159
5080, 5.996, 6.009, 5.968, 5.966, 6.030, 2.085, 2.148, 2.123, 1.840, 2.330, 3.536, 3.569, 3.552, 3.545, 3.584, 1.858, 1.797, 1.882, 1.799, 1.873, 2.964, 2.950, 2.952, 2.938, 2.939, 0.242, 0.240, 0.239, 0.241, 0.247
7626, 9.499, 9.423, 9.446, 9.451, 9.430, 3.154, 3.314, 3.501, 3.705, 3.589, 5.524, 5.563, 5.563, 5.509, 5.546, 3.037, 2.811, 2.830, 2.832, 2.946, 4.462, 4.424, 4.422, 4.437, 4.437, 0.370, 0.368, 0.357, 0.368, 0.357
11450, 14.921, 14.854, 14.859, 14.860, 15.023, 6.027, 5.211, 5.587, 4.827, 4.731, 8.434, 8.491, 8.592, 8.496, 8.431, 4.683, 4.671, 4.652, 4.757, 4.737, 6.755, 6.768, 6.718, 6.764, 6.717, 0.595, 0.559, 0.549, 0.569, 0.555
17190, 22.746, 22.824, 23.060, 22.994, 22.719, 8.830, 8.017, 8.753, 8.811, 8.315, 13.110, 13.060, 12.890, 12.855, 12.603, 6.526, 6.556, 6.721, 6.992, 6.805, 10.051, 10.005, 10.013, 10.018, 10.021, 0.889, 0.841, 0.828, 0.878, 0.828
25808, 35.236, 35.451, 35.356, 35.384, 35.312, 12.592, 14.838, 14.619, 15.897, 15.426, 20.061, 20.004, 19.818, 19.536, 19.866, 10.820, 11.999, 12.439, 12.962, 11.849, 15.293, 15.282, 15.562, 15.491, 15.650, 1.494, 1.397, 1.367, 1.489, 1.397
38746, 55.351, 55.374, 55.374, 55.275, 55.335, 23.115, 21.311, 23.362, 22.138, 23.514, 35.669, 30.774, 31.048, 31.005, 30.847, 18.683, 19.103, 19.829, 20.065, 20.403, 23.745, 23.936, 22.979, 23.192, 23.260, 2.132, 2.207, 1.987, 2.054, 2.022
58170, 85.657, 85.538, 85.891, 85.510, 86.053, 35.334, 33.473, 33.750, 34.005, 35.078, 47.680, 47.386, 47.743, 47.492, 47.732, 33.284, 29.284, 30.498, 31.141, 32.666, 36.140, 36.871, 36.394, 36.991, 38.149, 3.786, 3.663, 3.640, 3.694, 3.794
87332, 133.376, 132.948, 132.549, 133.123, 133.686, 51.957, 56.017, 53.293, 57.732, 56.924, 72.003, 72.183, 72.016, 71.855, 71.881, 46.869, 44.475, 47.658, 48.311, 47.810, 54.753, 56.663, 56.683, 56.783, 56.779, 6.685, 6.241, 6.745, 7.243, 6.902
131113, 204.555, 204.263, 205.196, 207.736, 205.940, 91.696, 81.166, 85.403, 88.152, 90.539, 113.327, 123.119, 129.006, 131.077, 126.212, 81.788, 84.079, 83.016, 85.956, 81.962, 92.958, 98.268, 96.510, 99.150, 99.623, 12.740, 11.899, 13.177, 14.478, 13.189
196841, 373.533, 378.979, 373.476, 384.064, 378.991, 149.121, 145.671, 155.498, 149.170, 157.045, 198.633, 198.774, 210.275, 199.259, 199.999, 164.203, 120.629, 132.130, 134.661, 128.093, 147.249, 151.846, 149.760, 155.811, 155.980, 19.752, 18.610, 23.004, 21.968, 20.729
295520, 592.820, 595.692, 601.402, 590.937, 606.202, 256.133, 258.558, 217.289, 231.054, 254.807, 314.194, 315.244, 318.598, 314.669, 294.628, 184.702, 191.508, 211.197, 207.221, 208.822, 226.527, 237.892, 230.330, 234.522, 237.790, 32.164, 30.577, 36.074, 30.916, 35.551
443668, 903.726, 906.244, 910.109, 915.626, 915.804, 367.823, 373.984, 358.653, 397.475, 391.713, 481.294, 487.684, 473.941, 486.647, 472.505, 309.839, 296.805, 322.066, 326.252, 323.027, 345.278, 369.072, 352.119, 366.681, 364.475, 50.251, 49.903, 59.757, 49.765, 55.908
666084, 1414.103, 1426.687, 1408.371, 1411.578, 1419.346, 611.176, 561.976, 556.301, 594.485, 622.141, 729.371, 719.507, 665.890, 645.675, 647.334, 435.547, 426.249, 465.368, 448.052, 448.776, 484.543, 537.022, 496.097, 527.334, 511.144, 68.727, 66.776, 69.844, 73.861, 73.828
1000000, 1977.026, 1982.574, 1954.556, 1983.772, 1981.369, 666.535, 779.932, 762.497, 676.838, 829.560, 974.354, 974.990, 986.527, 984.565, 993.259, 592.418, 595.768, 603.408, 611.409, 622.819, 744.953, 753.053, 737.798, 748.681, 749.053, 146.453, 132.391, 128.744, 118.862, 103.832
