op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
999, 0.325, 0.343, 0.354, 0.336, 0.334, 0.452, 0.475, 0.484, 0.504, 0.424, 0.297, 0.300, 0.288, 0.290, 0.299, 0.434, 0.476, 0.432, 0.424, 0.456, 1.002, 0.997, 1.013, 1.005, 1.019, 0.078, 0.071, 0.075, 0.071, 0.074
1501, 0.520, 0.517, 0.516, 0.529, 0.516, 0.792, 0.733, 0.765, 0.768, 0.683, 0.458, 0.476, 0.486, 0.471, 0.465, 0.706, 0.726, 0.670, 0.661, 0.682, 1.654, 1.662, 1.667, 1.647, 1.642, 0.149, 0.110, 0.109, 0.111, 0.110
2253, 0.808, 0.800, 0.802, 0.805, 0.806, 1.073, 1.159, 1.157, 1.141, 1.106, 0.756, 0.721, 0.722, 0.848, 0.717, 1.030, 1.060, 1.085, 1.043, 1.110, 2.649, 2.640, 2.672, 2.851, 2.852, 0.207, 0.178, 0.175, 0.178, 0.175
3383, 1.333, 1.307, 1.321, 1.320, 1.295, 1.795, 1.743, 1.778, 1.926, 1.831, 1.176, 1.161, 1.172, 1.169, 1.158, 1.825, 1.847, 1.971, 2.018, 2.059, 4.360, 4.350, 4.377, 4.385, 4.345, 0.273, 0.273, 0.269, 0.274, 0.271
5080, 2.012, 2.034, 2.193, 2.134, 2.040, 2.626, 2.626, 2.757, 2.863, 2.919, 1.899, 1.844, 1.858, 1.828, 1.835, 2.835, 2.707, 2.776, 2.882, 2.826, 7.119, 7.084, 7.096, 7.100, 7.098, 0.436, 0.433, 0.470, 0.432, 0.433
7626, 3.251, 3.253, 3.221, 3.212, 3.290, 4.427, 4.328, 4.714, 4.620, 4.596, 2.926, 2.799, 3.023, 2.898, 2.902, 4.678, 4.386, 4.681, 4.551, 4.790, 11.507, 11.561, 11.637, 11.448, 11.453, 0.693, 0.683, 0.690, 0.690, 0.687
11450, 5.249, 5.079, 5.117, 5.179, 5.102, 6.981, 7.203, 7.403, 7.265, 7.301, 4.637, 4.599, 4.550, 4.646, 4.729, 7.594, 7.494, 7.618, 7.821, 7.645, 18.536, 18.300, 18.332, 18.368, 18.419, 1.121, 1.119, 1.090, 1.088, 1.081
17190, 8.158, 8.162, 8.104, 8.196, 8.183, 11.660, 11.369, 10.941, 11.670, 11.023, 7.550, 7.261, 7.425, 7.325, 7.246, 12.133, 12.323, 12.148, 12.239, 12.368, 29.873, 29.863, 30.017, 29.488, 29.499, 1.756, 1.718, 1.715, 1.850, 1.728
25808, 12.990, 12.933, 12.945, 12.885, 12.986, 18.383, 18.647, 17.633, 17.230, 18.518, 12.057, 11.434, 11.450, 11.575, 11.530, 20.027, 19.698, 19.181, 20.148, 20.268, 47.553, 47.654, 47.343, 47.309, 47.324, 3.006, 2.916, 2.895, 2.888, 2.879
38746, 20.666, 20.524, 20.559, 20.767, 20.448, 28.263, 28.233, 29.607, 29.378, 28.522, 18.207, 18.143, 18.149, 18.896, 17.935, 31.649, 31.934, 33.127, 30.503, 30.765, 75.840, 75.877, 75.486, 75.641, 75.805, 4.651, 5.086, 4.895, 4.923, 4.989
58170, 32.507, 32.565, 32.323, 32.667, 32.550, 45.801, 46.311, 43.975, 43.631, 47.072, 29.427, 29.636, 29.017, 28.798, 28.291, 49.469, 50.657, 49.149, 51.321, 50.569, 120.563, 120.469, 120.369, 119.872, 120.151, 7.842, 8.446, 8.356, 8.447, 8.367
87332, 51.974, 51.562, 51.373, 51.496, 51.188, 70.241, 74.221, 66.808, 77.730, 73.860, 46.405, 45.611, 45.327, 46.228, 45.387, 78.814, 79.820, 80.382, 82.514, 79.854, 191.286, 189.675, 190.678, 190.381, 190.272, 14.510, 14.550, 14.449, 14.394, 14.605
131113, 80.879, 80.547, 80.501, 80.679, 80.457, 116.506, 110.965, 109.877, 118.640, 121.462, 72.828, 70.297, 69.720, 71.017, 71.633, 131.133, 135.117, 135.253, 137.002, 134.807, 303.376, 301.900, 300.474, 301.731, 300.327, 23.051, 23.215, 23.807, 23.416, 23.241
196841, 126.279, 125.921, 126.000, 128.134, 127.337, 192.154, 178.859, 169.090, 173.543, 174.453, 113.106, 112.538, 112.688, 114.877, 113.267, 234.702, 258.076, 266.056, 268.582, 267.606, 479.669, 474.888, 476.305, 476.125, 475.578, 37.581, 37.766, 38.075, 37.942, 37.801
295520, 200.600, 205.542, 202.918, 205.198, 204.647, 288.480, 283.120, 286.070, 292.598, 280.322, 179.141, 180.455, 178.059, 180.512, 179.601, 446.194, 479.156, 486.172, 491.856, 487.024, 763.797, 751.020, 752.470, 752.585, 755.257, 57.376, 60.081, 60.862, 60.334, 60.726
443668, 326.014, 341.754, 340.495, 334.994, 341.073, 470.457, 486.568, 497.551, 459.789, 477.684, 305.971, 308.931, 298.074, 306.820, 304.990, 773.106, 883.565, 880.131, 870.236, 883.251, 1224.774, 1205.910, 1202.131, 1203.903, 1228.472, 110.208, 101.856, 97.974, 98.010, 97.895
666084, 540.752, 574.829, 575.360, 573.416, 576.668, 834.810, 818.119, 814.209, 829.471, 822.564, 510.169, 511.768, 520.783, 517.617, 515.293, 1311.395, 1445.237, 1622.775, 1614.965, 1456.220, 1990.301, 1951.553, 1950.629, 1952.174, 1952.905, 152.086, 178.653, 176.871, 173.936, 176.644
1000000, 896.832, 969.548, 969.464, 966.959, 969.505, 1447.337, 1416.651, 1442.798, 1396.979, 1389.752, 852.940, 863.114, 841.640, 855.640, 889.825, 2275.451, 2495.343, 2420.621, 2518.401, 2591.865, 3238.299, 3166.688, 3172.315, 3170.528, 3169.890, 298.972, 366.021, 367.539, 363.736, 364.174
