op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
2253, 2.192, 2.281, 2.248, 2.245, 2.279, 0.531, 0.518, 0.579, 0.553, 0.553, 1.287, 1.284, 1.284, 1.289, 1.284, 0.671, 0.669, 0.671, 0.682, 0.672, 1.779, 1.780, 1.780, 1.781, 1.854, 0.088, 0.089, 0.089, 0.089, 0.090
3383, 3.429, 3.504, 3.431, 3.448, 3.414, 0.907, 0.951, 0.807, 0.797, 0.847, 1.985, 2.094, 1.982, 1.988, 1.984, 0.974, 1.026, 1.023, 1.046, 1.052, 2.636, 2.636, 2.635, 2.686, 2.635, 0.132, 0.131, 0.131, 0.129, 0.130
5080, 5.549, 5.354, 5.366, 5.366, 5.430, 1.328, 1.338, 1.409, 1.222, 1.413, 3.044, 3.039, 3.056, 3.041, 3.046, 1.553, 1.575, 1.556, 1.613, 1.583, 4.063, 4.087, 4.061, 4.059, 4.064, 0.196, 0.196, 0.200, 0.201, 0.202
7626, 8.421, 8.332, 8.361, 8.642, 8.375, 2.245, 2.260, 1.974, 2.219, 2.103, 4.688, 4.734, 4.749, 4.714, 4.755, 2.403, 2.384, 2.360, 2.447, 2.472, 6.039, 6.098, 6.230, 6.120, 6.043, 0.318, 0.300, 0.308, 0.307, 0.312
11450, 13.294, 12.973, 13.475, 12.931, 12.941, 3.408, 3.461, 3.330, 3.282, 3.810, 7.680, 7.365, 7.334, 7.865, 7.343, 4.008, 3.906, 4.027, 4.139, 4.254, 9.319, 9.325, 9.529, 9.313, 9.356, 0.473, 0.484, 0.463, 0.485, 0.482
17190, 21.037, 21.300, 20.717, 20.748, 20.375, 5.100, 5.036, 5.007, 4.959, 5.708, 11.028, 10.954, 11.065, 11.072, 11.102, 6.097, 5.627, 6.046, 5.737, 5.662, 13.716, 13.918, 13.730, 13.756, 13.766, 0.706, 0.681, 0.704, 0.700, 0.685
25808, 31.728, 31.602, 31.687, 31.567, 31.723, 7.691, 8.012, 7.822, 8.474, 7.534, 16.914, 16.851, 16.861, 16.853, 16.914, 8.838, 8.662, 8.947, 8.967, 9.916, 20.768, 20.763, 20.673, 20.754, 20.637, 1.212, 1.086, 1.103, 1.140, 1.097
38746, 50.426, 49.133, 48.900, 49.200, 49.529, 12.996, 12.777, 11.496, 12.336, 13.216, 25.712, 26.148, 26.600, 26.183, 25.754, 14.214, 14.064, 14.578, 15.465, 15.523, 31.293, 31.106, 31.182, 30.809, 30.862, 1.775, 1.794, 1.605, 1.586, 1.661
58170, 76.997, 76.407, 76.648, 75.986, 76.930, 20.796, 21.163, 19.888, 19.069, 19.755, 39.913, 40.427, 40.560, 40.668, 40.285, 25.010, 24.758, 23.835, 24.717, 24.633, 46.778, 46.420, 46.468, 46.368, 46.332, 3.769, 2.656, 2.793, 2.720, 2.716
87332, 120.209, 122.563, 117.887, 117.930, 117.675, 30.604, 33.410, 30.521, 31.233, 32.535, 63.073, 61.709, 63.285, 62.988, 62.543, 36.705, 39.166, 37.884, 36.765, 35.481, 72.435, 70.761, 70.545, 70.072, 70.212, 5.139, 4.568, 5.467, 4.301, 4.709
131113, 184.788, 186.223, 184.406, 184.434, 184.439, 51.668, 48.901, 48.913, 50.117, 50.208, 94.767, 95.637, 95.950, 97.918, 97.489, 56.405, 60.181, 57.154, 54.574, 56.915, 109.032, 107.660, 106.673, 106.355, 106.416, 8.980, 8.524, 6.945, 7.473, 7.792
196841, 291.518, 285.075, 285.790, 281.681, 285.027, 77.746, 79.282, 75.964, 76.849, 78.955, 143.904, 144.875, 146.860, 147.564, 148.355, 91.798, 90.152, 89.815, 93.369, 91.894, 168.993, 162.618, 160.396, 159.682, 161.035, 12.458, 13.492, 15.979, 11.719, 11.008
295520, 453.478, 472.071, 439.649, 443.606, 444.105, 121.275, 122.064, 132.872, 117.909, 117.550, 222.012, 223.779, 225.599, 227.341, 231.258, 135.899, 140.911, 141.393, 150.461, 151.499, 252.732, 245.218, 243.258, 242.041, 243.973, 25.672, 21.138, 22.343, 21.613, 18.878
443668, 687.191, 683.995, 678.072, 686.434, 685.743, 179.627, 188.075, 186.851, 185.160, 188.665, 339.420, 340.661, 345.535, 347.729, 348.030, 204.579, 222.010, 220.670, 228.080, 227.740, 379.927, 369.212, 362.237, 360.683, 361.510, 34.980, 39.446, 30.178, 32.396, 32.577
666084, 1061.507, 1056.205, 1050.799, 1054.844, 1050.202, 292.940, 282.760, 277.291, 293.491, 290.658, 516.462, 519.075, 525.012, 530.833, 530.123, 320.342, 326.859, 340.647, 349.955, 354.917, 575.928, 558.226, 546.175, 543.331, 545.631, 61.988, 61.545, 67.446, 54.626, 54.803
1000000, 1646.631, 1614.155, 1641.226, 1649.580, 1613.698, 430.507, 444.495, 470.716, 434.179, 433.000, 791.610, 795.988, 804.341, 812.921, 814.805, 483.252, 525.089, 546.010, 568.326, 567.808, 866.131, 844.097, 825.850, 820.617, 820.776, 93.268, 92.746, 84.304, 93.200, 92.816
