op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
25808, 9.885, 9.963, 9.994, 9.938, 9.900, 11.434, 11.662, 12.227, 11.613, 11.442, 10.408, 10.017, 9.954, 9.962, 9.991, 20.592, 21.858, 22.276, 21.987, 21.968, 65.969, 65.575, 66.191, 65.581, 65.335, 6.619, 6.613, 6.579, 6.602, 6.607
38746, 15.946, 15.665, 15.752, 15.579, 15.537, 18.213, 18.076, 18.080, 17.982, 18.313, 15.706, 15.700, 15.762, 15.792, 15.697, 40.754, 42.786, 43.493, 42.429, 42.646, 102.952, 102.881, 102.465, 102.590, 102.657, 10.270, 10.314, 10.499, 11.000, 10.368
58170, 25.282, 26.055, 25.919, 25.699, 25.505, 30.075, 30.343, 31.085, 30.525, 29.331, 25.663, 26.095, 25.592, 25.746, 25.733, 78.525, 84.971, 83.755, 85.604, 83.944, 161.398, 162.177, 161.964, 161.859, 161.880, 16.996, 16.456, 16.458, 16.717, 16.520
87332, 44.020, 45.538, 45.341, 45.510, 45.605, 54.633, 54.495, 53.268, 53.738, 53.437, 45.762, 45.559, 45.661, 45.917, 45.852, 132.367, 147.978, 156.523, 158.350, 146.543, 260.275, 260.408, 260.110, 260.537, 259.502, 25.687, 25.924, 25.919, 26.313, 26.612
131113, 79.484, 83.677, 83.830, 83.330, 83.278, 100.197, 100.027, 100.351, 100.947, 99.865, 83.702, 83.626, 83.758, 83.833, 84.040, 232.743, 254.896, 250.220, 252.157, 256.070, 423.511, 423.831, 424.069, 424.730, 424.751, 41.307, 43.709, 44.538, 44.374, 44.258
196841, 136.374, 144.791, 144.778, 144.982, 144.814, 175.822, 175.882, 177.966, 174.675, 176.234, 146.439, 146.222, 146.613, 146.742, 145.511, 385.095, 428.845, 430.218, 427.580, 426.989, 688.522, 689.541, 689.880, 687.659, 690.226, 82.823, 87.293, 88.179, 88.338, 88.039
295520, 232.405, 248.887, 248.850, 248.386, 249.051, 302.253, 304.371, 302.574, 303.271, 301.692, 251.058, 251.409, 249.689, 250.008, 250.225, 646.735, 716.701, 732.181, 728.624, 725.495, 1113.880, 1114.789, 1115.940, 1114.749, 1115.394, 149.279, 167.014, 166.849, 166.378, 166.242
443668, 382.227, 414.319, 414.311, 415.153, 414.170, 514.679, 512.535, 516.232, 507.648, 513.025, 417.440, 417.231, 417.528, 417.861, 417.386, 977.184, 1211.447, 1227.489, 1221.131, 1214.799, 1801.843, 1789.192, 1788.464, 1783.336, 1783.148, 261.998, 296.194, 296.124, 296.877, 295.368
666084, 631.222, 689.962, 686.962, 686.530, 687.030, 848.778, 848.315, 855.569, 856.595, 941.991, 721.954, 734.506, 732.278, 732.327, 727.610, 1984.169, 2149.032, 2202.824, 2265.025, 2202.180, 3120.599, 3129.235, 3202.958, 3136.294, 3057.657, 458.965, 529.497, 529.100, 554.761, 567.188
1000000, 1030.912, 1218.388, 1193.208, 1121.201, 1084.687, 1366.730, 1342.990, 1342.677, 1338.714, 1342.423, 1078.185, 1084.105, 1092.328, 1081.909, 1085.432, 2946.170, 3322.907, 3359.694, 3380.260, 3387.949, 4716.476, 4703.738, 4699.928, 4697.458, 4720.984, 767.151, 873.989, 872.203, 891.973, 887.546
