op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
3383, 4.702, 4.626, 4.684, 4.649, 4.648, 0.946, 1.260, 1.106, 1.029, 1.165, 2.325, 2.323, 2.321, 2.326, 2.317, 1.232, 1.233, 1.259, 1.224, 1.238, 1.721, 1.712, 1.712, 1.745, 1.741, 0.189, 0.197, 0.191, 0.189, 0.190
5080, 7.689, 7.570, 7.621, 7.683, 7.566, 1.893, 1.615, 1.658, 1.825, 1.629, 3.625, 3.550, 3.541, 3.555, 3.606, 1.928, 1.924, 1.828, 1.859, 1.853, 2.589, 2.582, 2.601, 2.581, 2.587, 0.279, 0.279, 0.290, 0.279, 0.289
7626, 12.004, 11.931, 11.805, 11.836, 12.101, 2.851, 2.544, 2.665, 2.975, 2.661, 5.688, 7.834, 8.933, 5.519, 5.558, 3.022, 3.074, 3.059, 3.030, 2.976, 3.961, 3.977, 3.957, 3.944, 3.885, 0.419, 0.431, 0.437, 0.424, 0.430
11450, 19.444, 19.055, 19.455, 19.264, 19.275, 4.532, 4.227, 4.474, 4.192, 4.516, 8.332, 8.357, 8.400, 8.356, 9.619, 5.460, 4.727, 5.014, 4.790, 4.617, 5.878, 6.081, 6.034, 6.052, 6.032, 0.647, 0.646, 0.652, 0.683, 0.689
17190, 30.061, 30.109, 29.777, 30.082, 29.962, 7.222, 7.451, 6.943, 6.405, 7.220, 13.003, 13.019, 13.131, 13.008, 13.064, 7.887, 8.046, 8.155, 7.985, 8.038, 9.370, 9.631, 9.713, 9.195, 9.294, 0.991, 1.006, 1.000, 1.061, 0.986
25808, 45.602, 51.261, 44.489, 45.144, 45.697, 11.222, 11.300, 12.328, 11.107, 11.900, 20.094, 20.365, 20.268, 20.024, 19.954, 12.612, 12.661, 12.613, 12.494, 12.501, 14.560, 14.138, 14.566, 14.379, 13.990, 1.653, 1.691, 1.641, 1.654, 1.635
38746, 72.863, 72.950, 70.383, 69.342, 70.396, 18.491, 17.362, 19.362, 18.705, 17.959, 30.316, 31.409, 31.644, 31.214, 30.431, 18.905, 19.531, 19.450, 27.110, 19.413, 21.778, 21.363, 21.436, 21.419, 21.467, 2.890, 2.901, 2.954, 2.995, 2.984
58170, 112.684, 111.186, 109.579, 110.868, 109.121, 27.428, 29.012, 27.848, 27.746, 26.916, 46.574, 46.660, 47.883, 47.849, 46.984, 30.151, 29.699, 30.126, 29.818, 29.552, 32.212, 33.119, 32.108, 33.217, 32.321, 4.566, 4.650, 4.506, 4.487, 4.632
87332, 173.166, 172.846, 170.988, 170.847, 170.517, 41.763, 45.499, 44.043, 46.407, 46.259, 71.394, 71.734, 71.130, 73.399, 73.348, 45.080, 45.952, 44.615, 44.749, 45.785, 48.762, 49.604, 48.709, 50.422, 49.556, 8.052, 8.123, 8.113, 8.221, 8.255
131113, 272.629, 261.033, 267.261, 263.242, 271.299, 66.953, 68.631, 69.697, 71.877, 75.533, 123.103, 108.523, 112.161, 112.620, 113.236, 73.527, 72.926, 72.580, 75.034, 74.877, 76.868, 76.493, 76.563, 77.139, 77.963, 14.046, 13.892, 13.782, 14.238, 14.939
196841, 412.042, 408.198, 410.406, 414.114, 377.966, 99.593, 99.586, 105.360, 118.950, 110.937, 172.881, 165.803, 167.707, 176.363, 177.085, 110.182, 106.145, 106.921, 107.861, 107.476, 117.828, 116.348, 113.705, 111.346, 111.242, 21.491, 20.542, 21.123, 20.575, 20.435
295520, 632.534, 633.462, 628.837, 630.471, 628.443, 163.103, 175.032, 170.781, 156.128, 163.361, 258.821, 256.173, 259.514, 255.876, 258.688, 174.072, 169.085, 169.068, 164.217, 162.383, 247.100, 171.153, 170.931, 170.493, 167.582, 32.368, 30.708, 32.495, 33.873, 30.669
443668, 971.084, 967.314, 976.145, 944.069, 969.879, 261.428, 243.204, 265.418, 256.012, 262.749, 387.205, 389.204, 387.661, 384.751, 387.941, 260.431, 247.290, 257.526, 258.483, 246.507, 257.750, 254.517, 262.461, 251.633, 255.607, 48.300, 47.459, 48.862, 49.120, 48.548
666084, 1497.008, 1519.532, 1512.066, 1512.952, 1523.372, 403.629, 399.562, 411.337, 412.046, 417.109, 602.110, 597.077, 590.326, 724.244, 598.994, 404.379, 403.470, 408.697, 401.648, 409.622, 403.538, 365.421, 347.939, 348.258, 347.691, 69.864, 69.010, 69.386, 69.065, 70.221
1000000, 2085.975, 2071.481, 2071.623, 2092.478, 2066.502, 556.871, 547.514, 557.016, 557.256, 516.799, 802.288, 793.834, 799.768, 812.262, 807.332, 540.602, 530.635, 524.926, 534.289, 527.012, 520.621, 582.134, 620.688, 584.771, 596.716, 125.393, 117.037, 120.098, 114.753, 122.479
