op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
2253, 3.092, 3.109, 3.036, 3.048, 3.099, 3.983, 3.938, 3.911, 4.093, 3.888, 3.066, 3.056, 3.111, 3.088, 3.100, 4.531, 4.301, 4.422, 4.523, 4.860, 8.366, 8.481, 8.807, 8.519, 8.330, 2.354, 2.363, 2.380, 2.361, 2.334
3383, 5.292, 5.161, 5.137, 5.277, 5.234, 7.087, 7.058, 6.646, 7.097, 6.851, 5.317, 5.319, 5.195, 5.208, 5.103, 8.050, 8.208, 7.972, 8.470, 8.454, 14.028, 13.969, 14.008, 14.084, 13.953, 4.024, 3.980, 3.956, 3.946, 4.002
5080, 8.602, 8.727, 8.621, 9.151, 8.819, 11.320, 12.045, 12.319, 12.820, 12.072, 8.639, 8.864, 8.977, 8.756, 8.941, 14.546, 13.039, 13.295, 13.057, 13.452, 22.183, 25.398, 22.228, 22.460, 22.460, 6.353, 6.403, 6.892, 6.416, 6.518
7626, 14.472, 14.341, 14.182, 13.770, 14.002, 19.284, 19.356, 19.963, 19.986, 20.865, 14.325, 14.248, 14.484, 14.443, 14.319, 24.581, 24.298, 24.349, 25.266, 24.856, 37.967, 37.721, 39.088, 36.294, 38.416, 11.642, 11.695, 11.657, 11.849, 11.654
11450, 24.721, 24.046, 24.328, 23.608, 23.513, 34.231, 34.304, 34.593, 35.931, 35.332, 24.039, 24.123, 23.605, 24.105, 24.633, 41.044, 42.698, 39.596, 43.021, 43.717, 61.233, 61.181, 60.396, 61.090, 60.489, 19.848, 20.061, 20.056, 20.750, 20.847
17190, 39.434, 39.372, 39.397, 39.069, 39.681, 55.656, 52.677, 52.650, 56.994, 58.502, 37.611, 37.304, 37.610, 37.944, 39.045, 69.701, 72.397, 70.568, 70.954, 69.894, 98.885, 99.177, 102.515, 95.257, 95.908, 30.981, 31.285, 31.440, 31.552, 31.019
25808, 61.165, 62.637, 63.662, 62.310, 62.412, 96.363, 88.357, 90.222, 90.759, 89.848, 61.695, 61.666, 61.544, 61.457, 67.525, 116.029, 122.509, 114.901, 118.576, 112.932, 155.370, 155.251, 152.438, 160.110, 158.126, 54.553, 53.781, 53.986, 53.726, 53.989
38746, 102.995, 104.053, 102.990, 107.499, 104.081, 162.493, 161.165, 157.831, 153.688, 147.511, 98.382, 101.851, 105.954, 96.634, 99.947, 182.123, 191.875, 199.979, 190.870, 196.766, 249.654, 248.602, 246.620, 249.387, 240.176, 83.040, 85.208, 86.201, 90.768, 84.608
58170, 162.417, 159.714, 161.074, 170.490, 160.030, 237.827, 230.392, 238.368, 229.130, 233.426, 158.807, 158.180, 157.593, 167.398, 159.419, 311.400, 304.766, 305.612, 309.546, 313.359, 396.142, 400.534, 408.016, 404.519, 415.830, 144.779, 145.372, 146.297, 144.389, 143.331
87332, 279.054, 269.913, 262.047, 270.978, 262.649, 389.784, 411.376, 399.960, 397.007, 388.958, 254.363, 262.317, 268.584, 267.782, 254.359, 509.800, 511.646, 495.511, 513.208, 499.108, 634.526, 651.154, 644.943, 635.575, 640.817, 233.299, 234.733, 237.592, 241.270, 240.393
131113, 435.068, 458.285, 458.426, 442.593, 462.003, 659.546, 690.011, 685.472, 679.613, 723.805, 461.453, 459.143, 457.749, 451.993, 454.825, 849.357, 841.041, 791.561, 782.001, 813.647, 953.034, 963.172, 947.034, 955.832, 954.890, 354.978, 367.701, 351.996, 356.099, 356.428
196841, 649.241, 657.964, 659.120, 616.569, 633.142, 947.268, 937.856, 942.108, 934.849, 962.860, 616.521, 621.774, 633.144, 641.420, 623.927, 1288.439, 1325.634, 1320.791, 1304.402, 1325.350, 1537.175, 1535.072, 1569.135, 1626.509, 1576.210, 596.120, 611.834, 603.786, 591.875, 594.860
295520, 1090.256, 1065.844, 1091.970, 1065.065, 1119.439, 1634.649, 1575.594, 1607.427, 1591.821, 1587.075, 1042.287, 1041.694, 1065.453, 1039.749, 1040.582, 2048.813, 2041.312, 2088.003, 2060.878, 2083.389, 2389.869, 2389.957, 2408.876, 2413.158, 2458.799, 910.059, 926.755, 949.001, 921.242, 932.944
443668, 1731.555, 1646.887, 1653.433, 1650.017, 1657.334, 2647.375, 2721.102, 2749.038, 2749.140, 2720.298, 1787.533, 1784.062, 1842.884, 1781.631, 1778.511, 3601.925, 3512.199, 3459.328, 3467.846, 3449.671, 3758.490, 3756.420, 3728.730, 3781.952, 3978.357, 1737.021, 1744.224, 1757.184, 1726.882, 1817.378
666084, 3075.875, 3114.032, 3087.887, 3188.524, 3139.601, 4790.111, 4913.503, 5276.690, 4683.759, 4750.284, 3090.975, 3223.313, 3283.671, 3132.152, 3182.975, 6526.487, 6782.457, 6707.962, 6199.803, 5754.713, 6588.801, 5838.150, 5666.305, 5794.249, 5792.242, 2294.978, 2257.593, 2215.961, 2224.930, 2255.280
1000000, 3896.297, 3947.065, 3924.455, 3938.923, 3928.407, 5923.188, 5992.929, 6060.981, 6306.899, 5216.644, 3235.389, 3238.835, 3228.297, 3754.868, 3265.074, 6914.747, 6874.945, 6950.461, 6919.976, 6872.049, 7706.812, 7695.207, 7699.598, 7700.639, 7801.257, 2978.476, 2990.659, 2978.474, 2972.441, 2979.872
